question,response,count,percentage
(1) Hai mai utilizzato sistemi di valutazione online come questo per lo studio della matematica prima d’ora?,No,20,83.33
(1) Hai mai utilizzato sistemi di valutazione online come questo per lo studio della matematica prima d’ora?,"Sì, una o due volte",4,16.67
(2) Quale dispositivo hai utilizzato principalmente per le attività?,Laptop/PC,20,83.33
(2) Quale dispositivo hai utilizzato principalmente per le attività?,Smartphone,3,12.50
(2) Quale dispositivo hai utilizzato principalmente per le attività?,Tablet,1,4.17
(6) Come hai lavorato principalmente al compito?,Combinazione di questi,5,20.83
(6) Come hai lavorato principalmente al compito?,Principalmente in modo autonomo,8,33.33
(6) Come hai lavorato principalmente al compito?,Usando appunti/materiali,10,41.67
(6) Come hai lavorato principalmente al compito?,"Utilizzando strumenti come calcolatrice, PhotoMath, IA, ecc.",1,4.17
(Quale argomento hai trovato più difficile?) Quale argomento hai trovato più difficile?,Equazioni,2,10.00
(Quale argomento hai trovato più difficile?) Quale argomento hai trovato più difficile?,Modulo e argomento,3,15.00
(Quale argomento hai trovato più difficile?) Quale argomento hai trovato più difficile?,Modulo e argomento   Potenze e radici,1,5.00
(Quale argomento hai trovato più difficile?) Quale argomento hai trovato più difficile?,Operazioni di base in forma algebrica   Modulo e argomento   Potenze e radici   Equazioni,1,5.00
(Quale argomento hai trovato più difficile?) Quale argomento hai trovato più difficile?,Potenze e radici,12,60.00
(Quale argomento hai trovato più difficile?) Quale argomento hai trovato più difficile?,Potenze e radici   Equazioni,1,5.00
