Question,Theme,Frequency
PEOU: Difficulties using the system,Syntax / answer formatting,12
PU: Reaction to feedback,Used feedback to understand error,10
PU: Reaction to feedback,Sought external help,10
PU: Reaction to feedback,Rechecked calculations,9
PU: Reaction to feedback,Reviewed notes/materials,7
ATU: Reason for most difficult topic,Powers and roots difficulty,7
ATU: Reason for most difficult topic,Mathematical understanding,5
PEOU: Difficulties using the system,System rigidity / correct answer rejected,5
PEOU: Difficulties using the system,No difficulty,5
PEOU: Difficulties using the system,Mathematical difficulty,5
ATU: Reason for most difficult topic,Syntax / formatting difficulty,5
PU: Reaction to feedback,Changed approach/method,4
ATU: Reason for most difficult topic,Calculations / algebraic manipulation,4
ATU: Reason for most difficult topic,Feedback / instruction clarity,3
PEOU: Difficulties using the system,Frustration / usability friction,3
PU: Reaction to feedback,Tried again,3
PEOU: Difficulties using the system,Instruction / clarity issue,2
PEOU: Difficulties using the system,Manual review needed,2
ATU: Reason for most difficult topic,Attention / concentration,2
PU: Reaction to feedback,Changed answer format,2
ATU: Reason for most difficult topic,No specific difficult topic,1
ATU: Reason for most difficult topic,Manual review needed,1
ATU: Reason for most difficult topic,Modulus and argument difficulty,1
